Food code,Main food description,Maximum Amount,WWEIA Category number,WWEIA Category description,Minimize,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Iron (mg),Zinc (mg),Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),4:0(g),6:0(g),8:0(g),10:0(g),12:0(g),14:0(g),16:0(g),18:0(g),16:1(g),18:1(g),20:1(g),22:1(g),18:2(g),18:3(g),18:4 (g),20:4 (g),20:5 n-3(g),22:5 n-3(g),22:6 n-3(g),ALA,Water(g),Omega 3,Omega 6,factor1
74101000,"Tomatoes, raw",None,6402,Tomatoes,0.88,18,0.88,3.89,2.63,1.2,0.2,0.028,0.031,0.083,0,0,42,101,449,0,2573,123,0.037,0.019,0.594,0.08,0,15,15,15,6.7,0,0,13.7,0,0.54,0,7.9,10,24,11,0.27,0.17,0.059,0,237,5,0,0,0,0,0,0,0,0,0,0.02,0.008,0.001,0.03,0,0,0.08,0.003,0,0,0,0,0,0,94.52,0,0.08,-0.08
75122000,"Pepper, raw, NFS",None,6420,Other vegetables and combinations,0.91,22,0.91,5.13,3.03,1.8,0.22,0.058,0.008,0.095,0,0,67,21,704,176,0,240,0.056,0.048,0.655,0.247,0,23,23,23,5.5,0,0,97,0,0.79,0,6.5,9,22,11,0.37,0.17,0.049,0,188,3,0,0,0,0,0,0,0,0,0,0.052,0.007,0.001,0.007,0,0,0.07,0.025,0,0,0,0,0,0,93.3,0,0.07,-0.07
75122100,"Pepper, sweet, green, raw",None,6420,Other vegetables and combinations,0.86,20,0.86,4.64,2.4,1.7,0.17,0.058,0.008,0.062,0,0,18,21,208,7,0,341,0.057,0.028,0.48,0.224,0,10,10,10,5.5,0,0,80.4,0,0.37,0,7.4,10,20,10,0.34,0.13,0.066,0,175,3,0,0,0,0,0,0,0,0,0,0.05,0.008,0,0.008,0,0,0.054,0.008,0,0,0,0,0,0,93.89,0,0.054,-0.054
73101010,"Carrots, raw",None,6404,Carrots,0.93,41,0.93,9.58,4.74,2.8,0.24,0.032,0.012,0.102,0,0,835,3477,8285,0,1,256,0.066,0.058,0.983,0.138,0,19,19,19,8.8,0,0,5.9,0,0.66,0,13.2,33,35,12,0.3,0.24,0.045,0.1,320,69,0,0,0,0,0,0,0,0,0,0.03,0.002,0.002,0.011,0,0,0.1,0.002,0,0,0,0,0,0,88.29,0,0.1,-0.1
75122200,"Pepper, sweet, red, raw",None,6406,Other red and orange vegetables,0.99,26,0.99,6.03,4.2,2.1,0.3,0.059,0.007,0.156,0,0,157,20,1624,490,0,51,0.054,0.085,0.979,0.291,0,46,46,46,5.6,0,0,127.7,0,1.58,0,4.9,7,26,12,0.43,0.25,0.017,0.1,211,4,0,0,0,0,0,0,0,0,0,0.056,0.004,0.004,0.004,0,0,0.1,0.056,0,0,0,0,0,0,92.21,0,0.1,-0.1
72116220,"Escarole, cooked",None,6411,Other dark green vegetables,1.12,37,1.12,2.98,0.22,2.7,2.71,0.762,0.936,0.854,2,10,102,0,1102,0,0,0,0.057,0.06,0.302,0.032,0,76,76,76,15.1,0,0,3.2,0,0.68,0,207.5,45,22,13,0.7,0.67,0.084,0.2,238,140,0,0,0,0.028,0.018,0.01,0.022,0.023,0.068,0.407,0.165,0.014,0.914,0.008,0,0.751,0.103,0,0,0,0,0,0,91.61,0,0.751,-0.751
75100750,"Artichoke, raw",None,6420,Other vegetables and combinations,2.89,53,2.89,11.95,0.99,5.7,0.34,0.079,0.011,0.145,0,0,1,0,8,0,0,464,0.05,0.089,1.11,0.081,0,89,89,89,34.4,0,0,7.4,0,0.19,0,14.8,21,73,42,0.61,0.4,0.127,0.2,286,60,0,0,0,0,0,0,0,0.004,0.004,0.066,0.006,0,0.011,0,0,0.105,0.038,0,0,0,0,0,0,84.08,0,0.105,-0.105
71104030,"Potato, roasted, NFS",None,6802,"White potatoes, baked or boiled",1.87,125,1.87,20.45,1.61,1.4,4.24,1.202,1.524,1.307,3,17,18,0,8,0,0,0,0.1,0.021,1.324,0.312,0,9,9,9,14.1,0,0,12.1,0,0.52,0,4.1,5,48,24,0.34,0.28,0.204,0.3,372,167,0,0,0,0.046,0.029,0.017,0.037,0.041,0.108,0.621,0.271,0.024,1.487,0.013,0,1.148,0.158,0,0,0,0,0,0,72.09,0,1.148,-1.148
73302010,"Winter squash, raw",None,6406,Other red and orange vegetables,1,26,1,6.5,2.76,0.5,0.1,0.052,0.013,0.005,0,0,426,4016,3100,0,0,1500,0.05,0.11,0.6,0.061,0,16,16,16,8.2,0,0,9,0,1.06,0,1.1,21,44,12,0.8,0.32,0.127,0.3,340,1,0,0,0,0,0,0,0,0.001,0.006,0.037,0.003,0.006,0.006,0,0,0.002,0.003,0,0,0,0,0,0,91.6,0,0.002,-0.002
75103000,"Cabbage, green, raw",None,6413,Cabbage,1.28,25,1.28,5.8,3.2,2.5,0.1,0.034,0.017,0.017,0,0,5,33,42,0,0,30,0.061,0.04,0.234,0.124,0,43,43,43,10.7,0,0,36.6,0,0.15,0,76,40,26,12,0.47,0.18,0.019,0.3,170,18,0,0,0,0,0,0,0,0,0,0.034,0,0,0.017,0,0,0.017,0,0,0,0,0,0,0,92.18,0,0.017,-0.017
